Título,Autor,Año,Grado
Determinación del transcriptoma de la línea celular MCF-7 en un microambiente de hiperglucemia,"Acosta Ramos, Esteban",2020,Licenciatura en Biología
Estrategias de cabildeo y comunicación para influir en las decisiones públicas,"Acosta Santiago, Francisco Javier",2020,Licenciatura en Ciencias de la Comunicación (Periodismo)
El concepto de naturaleza en Carlos Marx : una crítica para la actualidad,"Acosta Vázquez, Jenny Victoria",2020,Licenciatura en Filosofía
Prevalencia de acortamiento de gastrocnemios en atletas de alto rendimiento como factor de riesgo para el desarrollo de lesiones,"Acuña Campos, Jonathan",2020,Especialidad en Medicina (Ortopedia)
Portafolio de opciones sobre temperatura para productores de maíz en la costa del Pacífico,"Acuña González, Juan Pablo",2020,Licenciatura en Actuaría
Elementos de evaluación preliminar para la elección de un psicólogo clínico : una guía para usuarios,"Acuña Yunes, Saira Marem",2020,Licenciatura en Psicología
El papel de la virulencia de los patógenos sobre la memoria inmunitaria innata,"Adame Rivas, Galia Marina",2020,Maestría en Ciencias Biológicas
Analgesia postoperatoria con infiltración de la herida quirúrgica con ropivacaína mas morfína vs ropivacaína en inguinoplastia,"Aguado Arteaga, Mayra",2020,Especialidad en Medicina (Anestesiología)
Caracterización de la familia Virgaviridae en el tracto gastrointestinal de niños menores de un año de edad,"Aguado García, Yarenci",2020,Maestría en Ciencias Bioquímicas
Modelos y teorías de enfermería en la visión de Florence Nightingale y otros,"Aguado Malagón, Adriana",2020,Licenciatura en Enfermería y Obstetricia
Terminología de derecho procesal,"Aguayo Mejía, Bernadette Betsaida",2020,Licenciatura en Lengua y Literaturas Hispánicas
"Visión de Anáhuac, de Alfonso Reyes : un ensayo de vanguardia","Aguayo Mejía, Samuel Josué",2020,Licenciatura en Lengua y Literaturas Hispánicas
"La producción de Little L.A. en la Colonia Tabacalera, Delegación Cuauhtémoc, Ciudad de México","Agüero Cheix, Manuel Andrés",2020,Maestría en Urbanismo
Propuesta de intervención desde la terapia breve con padres de familia para el manejo del estrés agudo tras un sismo,"Aguilar Aguilar, Perla Rubí",2020,Licenciatura en Psicología
Indice electrocardiográfico de brugada para diagnóstico de disfunción diastólica en pacientes con enfermedad de la microvasculatura,"Aguilar Aizcorbe, Gabriela",2020,Especialidad en Medicina (Cardiología)
"Vulnerabilidad global asociada a amenaza por lahar en Tapachula, Chiapas","Aguilar Azcanio, Giancarlo",2020,Maestría en Geografía
El año dual Alemania-México (2016-2017) : un ejemplo de cooperación para la transición energética,"Aguilar Badillo, Jair Asaf",2020,Licenciatura en Relaciones Internacionales
Caracterización experimental del flujo de un electrolito en una cavidad cúbica,"Aguilar Campos, Selene",2020,Maestría en Ciencia e Ingeniería de Materiales
Aislamiento y caracterización estructural de los constituyentes químicos de Croton adspersus (Euphorbiaceae),"Aguilar Colorado, Ángel Sahid",2020,Maestría en Ciencias Químicas
Niveles de lactato deshidrogenasa pre-tratamiento como factor pronóstico en el cáncer de origen primario desconocido : modelo de predicción de supervivencia para optimizar el manejo con radioterapia,"Aguilar Correa, Pavel",2020,Especialidad en Medicina (Radiooncología)
"Aplicación de métodos de prueba para evaluar el desempeño del concreto lanzado reforzado con fibras metálicas para revestimiento de túneles : caso práctico : ampl. L12 Metro, tramo : Mixcoac-Observatorio","Aguilar Cortés, Lilia",2020,Maestría en Ingeniería Civil
"Depresión y riesgo suicida en adolecentes de 13 a 19 años atendidos en el HGZMF No. 1, Pachuca Hidalgo","Aguilar Cuenca, Julio Enrique",2020,Especialidad en Medicina (Medicina Familiar)
Prevalencia de la recurrencia de diarrea asociada a clostridium difficile en el servicio de medicina interna y probables factores asociados,"Aguilar Dávalos, María Fernanda",2020,Especialidad en Medicina (Medicina Interna)
Narrativas de vida de jóvenes con distrofia muscular de Duchenne,"Aguilar Delgadillo, Cintia",2020,Doctorado en Psicología
Evaluación de la eficacia del índice de fragilidad como una herramienta para la valoración del riesgo quirúrgico en adultos mayores sometidos a cirugía abdominal,"Aguilar Frasco, Jorge Luis",2020,Especialidad en Medicina (Cirugía General)
"Propuesta de intervención urbano-arquitectónica del nuevo Palacio Municipal en la localidad de San Francisco Telixtlahuaca, Oaxaca, México","Aguilar García, Hugo",2020,Licenciatura en Arquitectura
Caracterización experimental de un flujo de metal líquido usando velocimetría por efecto Doppler,"Aguilar García, Tania Lizet",2020,Maestría en Ciencia e Ingeniería de Materiales
"Desarrollo rural sostenible en San Felipe Otlaltepec, Puebla, México","Aguilar Hernández, David",2020,Licenciatura en Arquitectura
