Título,Autor,Año,Grado
La apropiación del estilo pop en dos artistas colombianas : Beatriz González y Sonia Gutiérrez,"Bustos Pérez, Karla Guadalupe",2020,Maestría en Historia del Arte
"Prevalencia de cardiopatías congénitas, diagnóstico, tratamiento y evolución en el Hospital Regional de Alta Especialidad del Niño Dr. Rodolfo Nieto Padrón 2018-2020","Caamal Cauich, Javier Francisco",2020,Especialidad en Medicina (Pediatría)
Metaficción futurográfica en barroco tropical de José Eduardo Agualusa,"Bustos Vadillo, Gabriela",2020,Licenciatura en Lengua y Literaturas Modernas Portuguesas
Control hemodinámico con el uso de ropivacaína 0.75% en comparación con bupivacaina isobárica 0.5% peridural en anestesia combinada para pacientes sometidas a laparotomía por patología gineco oncológica,"Caballero Almada, María Reneé",2020,Especialidad en Medicina (Anestesiología)
Prevalencia de anomalias del desarrollo dental en pacientes de 3 - 14 años que acuden a la CUAS Reforma en la especialidad en estomatologia del niño y del adolescente durante el periodo agosto 2018 - mayo 2019,"Caballero Calderón, Jacqueline Elizabeth",2020,Licenciatura en Cirujano Dentista
Impacto de las sesiones multidisciplinarias de uro-oncología en la toma de decisiones terapéuticas y su potencial para el cambio de la práctica clínica,"Caballero Landinez, Rosa Elena",2020,Especialidad en Medicina (Oncología Médica)
Tromboembolismo en pacientes con leucemia aguda de 0 a 18 años en el Instituto Nacional de Pediatría en el periodo comprendido de 2014 a 2019,"Caballero Lugo, Eduardo Roberto",2020,Especialidad en Medicina (Hematología Pediátrica)
El proceso silencio-revelación en mujeres sobrevivientes de abuso sexual infantil intrafamiliar (ASII),"Caballero Peña, Ingrid Natally",2020,Maestría en Ciencias de la Salud
Implementación de OpenMp (Open Multi Processing) en deMon2k 6.0.2,"Caballero, Reyna",2020,Especialidad en Cómputo de Alto Rendimiento
Ética profesional docente de los profesores del bachillerato universitario : el caso del CCH Vallejo,"Caballero Rojas, Miguel Ángel",2020,Doctorado en Pedagogía
La importancia de los vínculos afectivos de tipo materno en relación con el desempeño escolar en el adolescente de 3er. año de educación secundaria,"Caballero Villalobos, Ruth",2020,Licenciatura en Pedagogía
"Evento vascular cerebral : factores de riesgo, prevalencia e incidencia en el servicio de urgencias del Hospital General de Renacimiento","Cabañas Victoria, Pável Alexei",2020,Especialidad en Medicina (Medicina de Urgencias)
"La migración como desafío de política pública internacional, un análisis desde la gobernanza del programa de visa H-2B entre México y Estados Unidos","Cabello Cano, Stephanie Guadalupe",2020,Maestría en Gobierno y Asuntos Públicos
Calidad de vida y funcionalidad familiar asociado a capacidad funcional del adulto mayor en una unidad rural,"Cabanillas Moreno, José Cristian",2020,Especialidad en Medicina (Medicina Familiar)
Diseño de interiores de un laboratorio de mecánica de suelos,"Cabello Sánchez, Cristina",2020,Licenciatura en Diseño Industrial
Implante valvular pulmonar después de la reparación de tetralogía de Fallot en el Instituto Nacional de Cardiología Ignacio Chávez,"Cabrera Cerna, Carolina del Rocío",2020,Especialidad en Medicina (Cardiología Pediátrica)
La globalizalización de la identidad mexicana a través de la publicidad de la selección mexicana de futbol,"Cabrera Álvarez, Adriana",2020,Licenciatura en Ciencias de la Comunicación (Periodismo)
"Estructuración y flujo génico entre las poblaciones del murciélago frugívoro Sturnira parvidens (Chiroptera: Phyllostomidae) = Mito-nuclear genetic discordance in the little yellow-shouldered mesoamerican bat, Sturnira parvidens (Chiroptera: Phyllostomidae)","Cabrera Garrido, Martín Yair",2020,Maestría en Ciencias Biológicas
Estudio post-mortem de las alteraciones en la expresión de RNA en el cerebro de pacientes suicidas,"Cabrera Mendoza, Brenda",2020,Doctorado en Medicina
"Promoción inmobiliaria y producción social del espacio en la periferia metropolitana de Puebla, 1990-2010","Cabrera Montiel, Lorena",2020,Doctorado en Geografía
Factores asociados a enfermedad linfoganglionar en cáncer de pene,"Cabrera Mora, Norma Alejandra",2020,Especialidad en Medicina (Urología)
Estudio de la complejación de curcumina (antioxidante) en presencia de derivados dendríticos de β-ciclodextrina,"Cabrera Quiñones, Neyra Citlali",2020,Maestría en Ciencias Químicas
El análisis transcriptómico inducido por prolactina revela nuevas redes de genes en el hipocampo,"Cabrera Reyes, Erika Alejandra",2020,Doctorado en Ciencias Biomédicas
Cierre de fístula oroantral con bolsa adiposa de Bichat,"Cabrera Rodríguez, Emmanuel Ibrahín",2020,Licenciatura en Cirujano Dentista
"Polémios y Feind, la recepción geomitológica de Platón en Carl Schmitt : estudio sobre la formación metafísica del Estado","Cabrera Sánchez, Miguel Ángel",2020,Licenciatura en Filosofía
Informe de actividad profesional como músico orquestal,"Cabrera Rosas, Omar",2020,Licenciatura en Instrumentista
Análisis de las etapas patológicas y sobrevida en pacientes con carcinosarcoma en el Hospital de Gineco Obstetricia no. 4 Luis Castelazo Ayala en el periodo 2014-2018,"Cabrera Toledo, Guadalupe",2020,Especialidad en Medicina (Ginecología y Obstetricia)
Efecto de la rigidez del sustrato en el comportamiento de la línea celular hepática C9,"Cabriales Torrijos, Ana Lucía",2020,Doctorado en Ciencias Biomédicas
Evaluación de los criterios para la selección de pacientes de colecistectomía laparoscópica ambulatoria : una actualización de la guía de manejo,"Cabrera Torres, Annayr Azzareth",2020,Especialidad en Medicina (Cirugía General)
Galileo Galilei : la configuración del experimento mental y su consolidación metodológica en la ciencia,"Cabuto García, Jéssica Georgina",2020,Doctorado en Filosofía de la Ciencia
"Elegibilidad para tratamiento de reperfusión cerebral en pacientes con diagnóstico de enfermedad vascular cerebral isquémica con evolución mayor a 4.5 horas, atendidos en el Centro Médico ABC","Cadena Fernández, Arturo",2020,Especialidad en Medicina (Medicina Interna)
Correlación de la proteinuria en orina de 24 horas con el índice proteína,"Cadena Peralta, Jeovana Sandibel",2020,Especialidad en Medicina (Nefrología Pediátrica)
Las cortesíadas de Juan Cortés Osorio : edición con estudio introductorio y notas de un poema épico español sobre la conquista de México,"Cadenas León, Daniela",2020,Licenciatura en Literatura Intercultural
Asociación entre niveles de factor de crecimiento placentario y resultados perinatales adversos,"Caicedo Almeida, Andrea Katherine",2020,Especialidad en Medicina (Medicina Materno Fetal)
Estilos de crianza y su relación con trastornos internalizados y externalizados en adolescentes de nivel socioeconómico bajo en la Ciudad de México,"Caire Herrera, Laura Elizabeth",2020,Especialidad en Medicina (Psiquiatría Infantil y de la Adolescencia)
Prevalencia de disfunción tiroidea en pacientes tratados con amiodarona,"Cajigas Silva, Jesús",2020,Especialidad en Medicina (Medicina Interna)
Descripción de tumores óseos en pediatría del Instituto Mexicano del Seguro Social,"Calderón Araujo, Paulino Nelson",2020,Especialidad en Medicina (Pediatría Médica)
"Presencia de hiponatremia, hipokalemia e hipocalcemia como predictores de severidad, falla multiorgánica y complicaciones en pancreatitis aguda","Caldera Pérez, José Antonio",2020,Especialidad en Medicina (Gastroenterología)
Relación entre el diagnostico clínico de cervicovaginitis y el resultado del cultivo citológico en mujeres de 15 a 45 años de la jurisdicción de Cunduacan,"Calderón Camara, Olivia Guadalupe",2020,Especialidad en Medicina (Medicina Familiar)
Modalidades de lactancia en pacientes del servicio de UCIN del Hospital Dr. Fernando Quiroz,"Calderón Coria, César Ricardo",2020,Especialidad en Medicina (Pediatría)
"Plan de desarrollo para la zona de estudio Atlixco, Puebla : proyecto : Central de Autobuses de Atlixco","Calderón Martínez, Brian Daniel",2020,Licenciatura en Arquitectura
Análisis y revisión de criterios de barreras de contención establecidos en la NOM-037-SCT2-2012,"Calderón Sánchez, Caleb",2020,Especialidad en Vías Terrestres
"Evaluación de sustentabilidad en huertos de manzana en el centro-oriente de Puebla, México","Calderón Uraga, Luis Eduardo",2020,Licenciatura en Biología
Pautas para el diseño de estrategias de movilidad,"Calderón Rodríguez, Abraham",2020,Licenciatura en Ingeniería Civil
Frecuencia de ameloblastomas en poblacion pediátrica durante un periodo de 26 años,"Calderón Neville, Jeniffer",2020,Especialidad en Medicina (Patología Pediátrica)
El acceso a los conceptos puros : un estudio sobre la unidad entre las obras hegelianas,"Calderón Servín, José Luis",2020,Maestría en Filosofía
Análisis de factores asociados al resultado clínico y quirúrgico del abordaje endonasal endoscópico para el tratamiento de adenomas hipofisiarios gigantes,"Calderón Yrigoyen, Juan Pablo",2020,Especialidad en Medicina (Neurocirugía)
"Evolución de los donantes renales del INCMNSZ, en términos de la función renal (TFG), hipertensión arterial y proteinuria en comparación con un grupo de referencia","Calleja Guerrero, Said Mishael",2020,Maestría en Ciencias de la Salud
Análisis microeconómico de la estructura global del mercado del arte : el caso de Zona MACO 2017,"Callejo Hernández, Daniel Omar del",2020,Licenciatura en Relaciones Internacionales
Hacia una descripción semi-empírica de la demografía multi-componente y distribución espacial de las galaxias,"Calette Morín, Ángel Rubén",2020,Doctorado en Astrofísica
Ensayo de micronúcleos en células exfoliadas de mucosa oral como biomarcador de genotoxicidad y citotoxicidad en trabajadores de una imprenta industrial expuestos a compuesto orgánicos volátiles,"Caltzontzin García, Karina Vanesa",2020,Licenciatura en Bioquímica Diagnóstica
Propuesta de modelo de trabajo óptimo para mejorar la rotación voluntaria de personal y el choque entre generaciones : análisis de cinco agencias de marketing digital,"Calva Aguilar, Jazmín",2020,Maestría en Administración
"Análisis de la expresión de lo genes HES6, ZNF547 y FAM222A en el modelo de oncogénesis MCF10A ER-Src tras un insulto con triptolide","Calvario Carrillo, Eduardo",2020,Maestría en Ciencias Bioquímicas
"La política de atención a la comunidad universitaria durante el segundo periodo del Dr. José Narro Robles, 2011- 2015","Calzada Espinoza, Carolina",2020,Licenciatura en Ciencias de la Comunicación (Periodismo)
"Vulneración del cuerpo femenino en conflictos armados de la década de 1990 : Acteal, México","Camacho Bautista, Jazmin",2020,Licenciatura en Relaciones Internacionales
Desarrollo de un dispositivo médico antimicrobiano y regulador de pH a través del injerto de N-vinilimidazol en gasas de algodón por medio de radiación ionizante,"Camacho Cruz, Luis Alberto",2020,Maestría en Ciencias Químicas
Desarrollo y caracterización de una botana tipo chip a base de betabel (Beta vulgaris L.) aplicando diferentes métodos de secado,"Camacho Franco, Alma Noemí",2020,Licenciatura en Ingeniería en Alimentos
"Factores de riesgo asociados a la presencia de polineuropatía diabética, en pacientes con diabetes mellitus tipo 2 en el primer nivel de atención","Camacho López, Ruth Mariana",2020,Especialidad en Medicina (Medicina Familiar)
"Propuesta metodológica para la evaluación de impactos ambientales, sociales y económicos por la implementación y el uso de ecotecnias","Camacho Jiménez, Dalia Esmeralda",2020,Licenciatura en Ciencias Ambientales
Aplicación de la herramienta gemba walk : un caso práctico de la industria farmaceútica,"Camacho Méndez, Martín",2020,Maestría en Ingeniería Química
Hiperplasia endometrial : correlación entre patrones histeróscopicos y resultados histopatológicos y factores de riesgo relacionados,"Camacho Núñez, David",2020,Especialidad en Medicina (Ginecología y Obstetricia)
El problema de la coordinación de políticas públicas : un análisis del sistema nacional anticorrupción,"Camacho Pérez, Jason Alexis",2020,Maestría en Gobierno y Asuntos Públicos
Taponamiento nasal convencional vs pegamento tisular y material reabsorbible como sostén de colgajos nasoseptales en pacientes postoperados de macroadenoma hipofisiario por abordaje transesfenoidal endoscópico en el CMN 20 de Noviembre,"Camacho Rangel, Ilse Edith",2020,Especialidad en Medicina (Otorrinolaringología y Cirugía de Cabeza y Cuello)
"Efecto del uso de suelo en las comunidades ribereñas de helechos de la cuenca del Río la Antigua, Veracruz","Camacho Ramírez, Rubén Agustín",2020,Maestría en Ciencias Biológicas
"Un acercamiento a la compresión del habitar en la migración humana, desde una perspectiva del diseño arquitectónico : las caravanas centroamericanas rumbo a Estados Unidos","Camacho Rodríguez, Luis Armando",2020,Maestría en Arquitectura
Impacto del apoyo familiar y social en jóvenes adulto pertenecientes a la comunidad (LGBTI),"Camacho Sánchez, Catalina del Carmen",2020,Licenciatura en Psicología
Frecuencia de trastornos psiquiátricos en escolares y adolescentes con obesidad a su ingreso al Centro de Atención Metabólica Integral para el niño y el adolescente del Hospital General Dr. Manuel Gea González de 2017 a 2019,"Camacho Soto, Silvia Andrea",2020,Especialidad en Medicina (Pediatría)
Biología reproductiva de Strombocactus (Cactaceae),"Camacho-Velázquez, Aldebaran",2020,Doctorado en Ciencias Biológicas
Perfil epidemiológico de los pacientes que ingresan a la sala de choque de un hospital pediátrico de tercer nivel de atención de la Ciudad de México,"Cámara Corona, Eduardo",2020,Especialidad en Medicina (Pediatría)
Asociación de la adherencia terapéutica y calidad de vida en el paciente con EPOC,"Camacho Villagómez, Danny Mel",2020,Especialidad en Medicina (Medicina Familiar)
Estrés y burnout en residentes de oncología : evaluación y propuestas de intervención,"Camarena Díaz, Andrea Gabriela",2020,Maestría en Psicología
Los árboles de mi comunidad : talleres para niños en tres comunidades de Yucatán en la práctica de la gestión intercultural,"Camarena López, Ana Sheila",2020,Licenciatura en Desarrollo y Gestión Interculturales
El desplazamiento de la danza de pastoras de San Gregorio Atlapulco : análisis de las narrativas de mujeres desde 1960 hasta la actualidad,"Camarena Sánchez, Mariana Malinalli",2020,Licenciatura en Desarrollo y Gestión Interculturales
"Pumas CU, un pilar auriazul : más de noventa años de trabajo, tradición y futbol americano","Camarillo Espinosa, Mario Alberto",2020,Licenciatura en Comunicación y Periodismo
Teoría jurídica y metaética : el caso de H.L.A. Hart,"Camarillo Silerio, Jesús Hiram",2020,Maestría en Derecho
Singularidades en haces de luz estructurada y sus posibles aplicaciones en micromanipulación óptica,"Camas Aquino, Fabián",2020,Maestría en Ciencias (Física)
Pancreatitis aguda : actualización,"Cameselle Nicolás, Estefanía",2020,Especialidad en Medicina (Pediatría)
Intervenciones de la enfermera especialista en escolares víctimas de bullying,"Camino Rojas, Margarita Ana Karen del",2020,Especialidad en Enfermería Infantil
Síntesis y estudio estructural de sistemas homomultimetálicos de aluminio y galio derivados de bis(oxofosfinoil)diaminas,"Campirán Martínez, Azucena",2020,Doctorado en Ciencias Químicas
Evaluación de los parámetros de función ventricular derecha en pacientes sometidos al uso de Sacubitril,"Campo Aguirre, Rodrigo",2020,Especialidad en Medicina (Cardiología)
Cambios en el patrón de consumo alimentario y su incidencia en las características de la alimentación mexicana en el periodo 1990-2013,"Campos Ávila, Maricruz",2020,Licenciatura en Economía
Los genes en las anomalías dentarias,"Campos Cano, Ivonne Alondra",2020,Licenciatura en Cirujano Dentista
Modelo sinérgico diseñador editorial-editor propuesta de instrumentación para iniciar y desarrollar el perfil del diseñador editorial en editor,"Campos Carrasco, Ana Delia",2020,Maestría en Diseño y Comunicación Visual
Museo del tiempo : la creación de un producto cultural,"Campos Castelán, Rodolfo",2020,Licenciatura en Ciencias de la Comunicación (Periodismo)
Evaluación antiinflamatoria de un sistema nanoacarreador en gel que contiene penicilamina para el tratamiento de ratones CBA como modelo experimental de artritis reumatoide,"Campos Castilla, Berenice",2020,Licenciatura en Química Farmacéutico Biológica
Estudios biofísicos y estructurales del complejo bacGIyRS-tRNA,"Campos Chávez, Eduardo",2020,Licenciatura en Investigación Biomédica Básica
"Memoria gráfica : experiencia laboral de diseño editorial en el Antiguo Colegio de San Ildefonso, por medio del servicio social","Campos Díaz, Sara",2020,Licenciatura en Diseño y Comunicación Visual
Notas al programa obras de Ludwig van Beethoven Marco Neri y Robert Schumann,"Campos Espínola, Sandra de Jesús",2020,Licenciatura en Instrumentista
Neuralgia del trigémino : diagnóstico y tratamiento,"Campos García, Susana Elizabeth",2020,Licenciatura en Cirujano Dentista
Efecto de los ácidos grasos Omega-3 de cadena corta y larga en membranas mitocondriales de higado,"Campos Guzmán, María Fernanda",2020,Licenciatura en Biología
"Determinación del riesgo de fracturas por osteoporosis en pacientes mayores de 50 años de edad en periodo de postmenopausia mediante el uso de la herramienta HERF que acuden a la consulta de medicina familiar del HGZMF No. 1 Pachuca, Hidalgo","Campos González, Laura Dolores",2020,Especialidad en Medicina (Medicina Familiar)
Diagnóstico histopatológico de biopsias cero en pacientes trasplantados en el Hospital General de México,"Campos Pérez, Elihu",2020,Especialidad en Medicina (Anatomía Patológica)
Evaluación técnica-económica de energías renovables para su implementación en plantas industriales dentro de territorio mexicano,"Canales Ocampo, Carlos Eduardo",2020,Licenciatura en Ingeniería Mecánica
Implementación de recursos educativos abiertos en las escuelas mexicanas de bibliotecología en línea,"Campos Hernández, Joana Berenice",2020,Maestría en Bibliotecología y Estudios de la Información
Hendidura facial tessier 30 : reporte de caso y revisión de la literatura,"Campos Ramírez, Lidia Araceli",2020,Especialidad en Odontología
Pluralismo y posverdad : el caso del movimiento antivacunas,"Campuzano Perales, Mario César",2020,Maestría en Filosofía de la Ciencia
"Estudio de los fenómenos climáticos y su influencia sobre la producción de potencia de una granja eólica para la región de Arriaga, Chiapas","Canche Cab, Linda Guadalupe",2020,Maestría en Ingeniería Energía
Participación de CD43 en la capacidad invasora de células A549,"Cañas Linares, Alicia",2020,Maestría en Ciencias Bioquímicas
"Plan de mejoramiento urbano, Ciudad del Carmen, Campeche, México : centro multideportivo","Canchola Cruz, Carlos Alberto",2020,Licenciatura en Arquitectura
Estatus epiléptico super refractario en la unidad de cuidados intensivos pediátricos del Hospital para el Niño Poblano : experiencia y manejo,"Canales Rincón, José Carlos",2020,Especialidad en Medicina (Medicina Crítica Pediátrica)
"Evaluación de la sustentabilidad en agroecosistemas maíz y frijol en Olma Yahualica, Hidalgo","Canales Tovar, Liliana",2020,Licenciatura en Ingeniería Agrícola
"La historia de Maruja : puesta en escena, autorretrato y simulacro en la producción artística personal","Cancino Chacón, María Eugenia",2020,Maestría en Artes Visuales
Herramienta de multimedios complementaria para la educación,"Candelario Alavez, Jorge Luis",2020,Licenciatura en Ingeniería en Computación
Impacto del estrés producido por las prácticas profesionales y servicio social en los estudiantes de psicología en el rendimiento escolar,"Candia Samano, Mariana Graciela",2020,Licenciatura en Psicología
Dinámica de la enfermedad viral PaV1 (Panulirus argus virus 1) en hábitats con refugios artificiales (casitas) para juveniles de langosta Panulirus argus,"Candia Zulbarán, Rebeca Iliana",2020,Doctorado en Ciencias del Mar y Limnología
Caracterización de la señal de localización nuclear de la subunidad TcRPA31 de la RNA POL I de Trypanosoma cruzi,"Canela Pérez, Israel Felipe",2020,Doctorado en Bioquímicas
Factores de riesgo asociados a deshidratación hipernatrémica en recién nacidos,"Cañete Alavez, Melisa",2020,Especialidad en Medicina (Pediatría)
Uso de láser terapéutico en el postoperatorio de cirugía de terceros molares,"Canizal Mendoza, Ian Arturo",2020,Licenciatura en Cirujano Dentista
Síntesis 4-(bis-(1H-indol-3-il)metil)-2-metoxifenol mediante un acercamiento verde,"Cañizares Margain, Juan Carlos",2020,Licenciatura en Química
Hombres y mujeres con LEG ¿son tan diferentes? : estudio multidimensional,"Cano Cruz, Lilian Guadalupe",2020,Especialidad en Medicina (Reumatología)
Resultados perinatales en madres obesas con diabetes mellitus tipo 2,"Cano Arenas, Rodolfo",2020,Especialidad en Medicina (Medicina Materno Fetal)
"Génesis y evolución del cuerpo de Santa María, distrito minero de Velardeña, Durango","Cano Hernández, Néstor Alfredo",2020,Maestría en Ciencias de la Tierra
El olvido de la memoria : una aproximación para el diseño de arquitectura monumental,"Cano Jácome, Rhett Alexandr",2020,Doctorado en Arquitectura
Caso de aplicación de técnicas de microzonificación sísmica,"Cano Velarde, Yoali Margarita",2020,Especialidad en Geotecnia
Construcción de un sistema Z-scan portátil para la caracterización de propiedades no lineales en materiales,"Cano Santamaría, Lucero",2020,Licenciatura en Física
Generación de un sustituto de cartílago en una matriz de colágena,"Cano Ramírez, Yolanda Gabriela",2020,Maestría en Ciencias Biológicas
Desarrollo de un sensor óptico para el inmunodiagnóstico de tuberculosis,"Cano Velázquez, Mildred Socorro",2020,Doctorado en Ingeniería Eléctrica
Diseño de estrategias para la compra y venta de derechos financieros de transmisión en México,"Canseco García, Hiram Alberto",2020,Maestría en Ingeniería Energía
Intervención de enfermería para evitar crisis convulsivas asociadas a fiebre,"Canseco Rodal, Nancy",2020,Licenciatura en Enfermería y Obstetricia
Manejo multimodal en malformaciones arteriovenosas de pacientes pediatricos : experiencia C.M.N. 20 de noviembre,"Cantú Chávez, Emmanuel",2020,Especialidad en Medicina (Neurocirugía)
Propuesta de mejora del sistema de administración de obra pública de proyectos carreteros de la Secretaría de Comunicaciones y Transporte,"Cantú Lima, Salvador David",2020,Maestría en Ingeniería Civil
Validación del Dominio fisiológico de una versión en español de la Escala de Calidad de Recuperación Postquirurgica (PostopQRS),"Canul Estrella, Jesús Antonio",2020,Especialidad en Medicina (Anestesiología)
Cuantificación de las proteínas de choque térmico en recién nacidos a término sanos y prematuros con sepsis,"Canul Euan, Arturo Alejandro",2020,Maestría en Ciencias Médicas
Dinámica de la interfase salina del acuífero de la costa noroeste de Yucatán y escenarios frente al incremento del nivel medio del mar,"Canul Macario, César Alejandro",2020,Doctorado en Ingeniería Civil
Feasibility study of offshore wind energy in the Gulf of Mexico,"Canul Reyes, Diego Arturo",2020,Maestría en Ingeniería Energía
Una interpretación de la teoría general : un modelo no ergódico,"Canuto Garibaldi, Jorge Enrique",2020,Licenciatura en Economía
Desarrollo de una metodología para el control de la erosión y disminución de la vulnerabilidad costera : un enfoque a gran escala,"Canul Turriza, Román Alejandro",2020,Doctorado en Ingeniería Civil
Factores de riesgo cardiovascular y actitud en los médicos residentes de medicina familiar,"Capistrano García, José de Jesús",2020,Especialidad en Medicina (Medicina Familiar)
"Nivel de conocimiento de su enfermedad en pacientes diabéticos que acuden a consulta externa de medicina familiar en el Hospital General Regional con Medicina Familiar no. 1 en Cuernavaca, Morelos","Carachure Abarca, Mariana",2020,Especialidad en Medicina (Medicina Familiar)
"México en los años de la apertura comercial y el modelo neoliberal : balance, perspectivas y soluciones alternativas","Carbajal Cortés, Maximiliano",2020,Licenciatura en Derecho
Los espectáculos masivos y las coreografías monumentales en la posrevolución mexicana 1924-1940,"Carbajal Segura, Claudia",2020,Doctorado en Historia del Arte
Sistemas dispersos : fabricación y aplicaciones,"Carbajal Trejo, Angélica",2020,Licenciatura en Química Farmacéutico Biológica
Desarrollo de un método de extracción y cuantificación de melaninas en muestras de cabello con aplicación forense,"Cárdenas Álvarez, Samara Isabel",2020,Licenciatura en Ciencia Forense
Análisis de la expresión de la leptina y su receptor en tejido tumoral mamario y su valor como marcador pronóstico en mujeres con sobrepeso u obesidad que presentan cáncer de mama no hereditario,"Cárdenas Cárdenas, Eduardo",2020,Doctorado en Ciencias Médicas
Efecto del onboarding en modalidad b-learning sobre la socialización organizacional y el engagement en organizaciones startup,"Cárdenas González, José Octavio",2020,Licenciatura en Psicología
Riesgo independiente de lesión renal aguda secundario a la administración de manitol durante resección de meningiomas,"Cárdenas Ibarra, Amelia Elizabeth",2020,Especialidad en Medicina (Anestesiología)
Control de oscilaciones inter-área en sistemas de potencia de gran escala mediante mediciones de área amplia,"Cárdenas Javier, Romel Ángel",2020,Maestría en Ingeniería Eléctrica
Blockade and antiblockade of rydberg atoms,"Cárdenas López, Silvia Fernanda",2020,Maestría en Ciencias (Física)
Aplicación de la metodología de análisis de ciclo de vida (ACV) de la disposición final de mercurio de termómetros clínicos,"Cárdenas López, David Santiago",2020,Licenciatura en Ingeniería Química
"Yankuik hotel y spa ecoturístico en Ozumba, Estado de México","Cárdenas Loyola, Yesenia",2020,Licenciatura en Arquitectura
Análisis del desarrollo de la capacidad de realizar actividades científicas : un proyecto de biología en preescolar,"Cárdenas Lugo, Laura Lorena",2020,Licenciatura en Psicología
Prevalencia de la sensibilización a alérgenos en niños menores de 3 años en Hospital Infantil del Estado de Sonora,"Cárdenas Mateos, Alejandra",2020,Especialidad en Medicina (Pediatría)
P53 por inmunohistoquímica en tumor de Wilms correlacionado como factor de mal pronóstico en pacientes pediátricos,"Cárdenas Ocon, Jesús Mario",2020,Especialidad en Medicina (Pediatría)
Alcances de la participación pública en el proceso de toma de decisiones para el diseño de instrumentos de política ambiental : caso de estudio : conservación de la vaquita marina,"Cárdenas Pantoja, Andrea Belen",2020,Licenciatura en Ciencias Ambientales
"Patrones de navegación en el hábitat asociados al uso de recursos alimenticios por monos aulladores negros (Alouatta pigra) en fragmentos de selva en Palenque, Chiapas, México","Cárdenas Navarrete, Anaid",2020,Maestría en Ciencias Biológicas
La importancia de la química en la modernización de las escuelas nacionales de la Ciudad de México en el Siglo XIX,"Cárdenas Méndez, José Mariano",2020,Maestría en Filosofía de la Ciencia
"Características fenotípicas, genotípicas y geográficas de familias con mutaciones para amiloidosis hereditaria en México","Cárdenas Soto, Karla",2020,Maestría en Ciencias de la Salud
Enfoque diagnóstico por ultrasonido en pacientes con dolor abdominal superior en un centro radiológico privado de la Ciudad de México,"Cárdenas Vera, Mariana Guadalupe",2020,Especialidad en Medicina (Imagenología Diagnóstica y Terapéutica)
Factores que predisponen la dehiscencia de sutura esternal en pacientes postoperados de cirugía cardiaca,"Cárdenas Tenesaca, Yasmín Belén",2020,Especialidad en Medicina (Cirugía Cardiotorácica)
"Análisis de la exposición ante procesos de remoción en masa mediante cartografía participativa y el uso de vehículos aéreos no tripulados en Huehueymico, Teziutlán, Puebla","Cardón Idelfonso, Gerardo",2020,Licenciatura en Geografía
La proporción áurea en la fotografía publicitaria como recurso para potenciar el impacto de las ejecuciones visuales : estudio de caso de la campaña publicitaria de Diesel Be Stupid 2010,"Cárdenas Ulloa, Emiliano",2020,Licenciatura en Ciencias de la Comunicación (Periodismo)
"Los japoneses y la religión católica en Japón : análisis de los textos de Francisco Javier, Alessandro Valignano y Rodrigo de Vivero (1548 a 1626)","Cardoso Alvarado, Sandra Carolina",2020,Licenciatura en Literatura Intercultural
Inversión público-privada para la movilidad en la Ciudad de México :bel caso de la Autopista Urbana Supervía Poniente,"Cardoza Mata, Kenia",2020,Licenciatura en Ciencias Políticas y Administración Pública
Hacia formas menos debilitadas de la,"Carey, Maximilian Anderson",2020,Maestría en Lingüística Aplicada
Modelos lineales mixtos con clases latentes,"Cariño Escobar, Rodrigo Andrés",2020,Licenciatura en Actuaría
Factores asociados a complicaciones en los primeros 30 días de posoperatorio de plastia con separación de componentes,"Cardozo Piña, Hilda Rosario",2020,Especialidad en Medicina (Cirugía General)
Estudio comparativo acerca de las características clinicopatológicas de meningiomas pediátricos supratentoriales vs infratentoriales y su impacto sobre el pronóstico postquirúrgico,"Carius Estrada, Louis Valery",2020,Especialidad en Medicina (Neurocirugía Pediátrica)
"Ácaros prostigmata (Arachnida: Acariformes: Trombidiformes), asociados a la hojarasca en descomposición de los árboles Quercus obtusata y Sapium macrocarpum en una selva baja caducifolia de Tepoztlán, Morelos, México","Carlos Delgado, Ana Lilia",2020,Licenciatura en Biología
"Facebook ¿el quita tiempo, mata ocio de los mexicanos?","Carlock Sánchez, Mónica Alejandra",2020,Licenciatura en Ciencias de la Comunicación (Periodismo)
La creatividad y la innovación en la publicidad BTL reporte de experiencia profesional como Copywriter Jr. en Momentum,"Carmona González, Tania",2020,Licenciatura en Ciencias de la Comunicación (Periodismo)
Políticas de desarrollo urbano : el caso del centro histórico de Chihuahua,"Carlos Fernández, Paulina",2020,Maestría en Urbanismo
Integración de políticas y la coordinación administrativa en la CDMX en materia de adaptación al cambio climático : el caso del 19s y el plan de resiliencia hídrica en la ZPM,"Carmona Cárdenas, Sandra",2020,Licenciatura en Ciencias Políticas y Administración Pública
El rol de adiponectina e inflamación en la enfermedad valvular aortica en la población mexicana en el Instituto Nacional de Cardiología Ignacio Chávez,"Carmona Levario, Patricia",2020,Especialidad en Medicina (Cardiología)
Instrumento para la evaluación de las ideas irracionales en adultos con depresión,"Carmona Lozano, Oscar Gerardo",2020,Licenciatura en Psicología
"Manifestaciones epidemiológicas, clínicas y de laboratorio de la infección por tuberculosis a nivel osteoarticular en pacientes pediátricos de un hospital de tercer nivel de atención durante el periodo 1999-2018","Carmona Vargas, Ana Jocelyn",2020,Especialidad en Medicina (Infectología)
