Título,Autor,Año,Grado
Alteraciones olfativas y gustativas en pacientes asintomáticos contactosdepacientes COVID positivo :duracióndela alteraciones olfatorias secundarias a infección por SARS-CoV2,"Anaya Dyck, Alfredo",2021,Especialidad en Medicina (Otorrinolaringología y CirugíadeCabeza y Cuello)
"La trompeta en la música mexicana del siglo XXI, (2000-2020)","Ancheta Guardado, Rafael Ernesto",2021,Maestría en Música
"Caracterización geológico-estratigráfica del Complejo Volcánico Peñuela, EstadodePuebla","Andrade Argueta, Julio César",2021,Licenciatura en Geociencias
Procesodeatención - desatencióndela Covid-19 en un Municipio Indígenadela PenínsuladeYucatán:el casodeTeabo,"Ancona Manzanilla, Juan Manuel",2021,Maestría en Ciencias Sociomedicas
Aproximaciones a la violenciadegénero desde el trabajo social en psiquiatría y salud mental,"Andia Garvizu, Cintya Giovana",2021,Maestría en Trabajo Social
Importanciadela relación entre lactancia artificial y corta duracióndelactancia materna con el desarollodeobesidad en pacientes con diagnósticodeobesidad infantil atendidos por el serviciodeendocrinología del Hospital Adolfo López Mateos en los últimos tres años,"Andino Guambuguete, Doris Elizabeth",2021,Especialidad en Medicina (Pediatría)
Evaluacióndela funcionalidad familiardepacientes con hipertensión arterial sistémica que se encuentran en la consulta externa del Hospital GeneraldeZona,"Ancheyta Rodas, Cecilia Guadalupe",2021,Especialidad en Medicina (Medicina Familiar)
Análisis del Artículo 69-B del Código Fiscaldela Federación a la luz del principiodecerteza jurídica,"Andere Bastida, Pablo Eduardo",2021,Licenciatura en Derecho
"La crítica literaria sobre la narrativadela GeneracióndeMedio Siglo en la columna ""Inventario""","Anda Martínez, Ana Laurade",2021,Maestría en Letras
Aplicacióndealgoritmosdeconglomeración para la identificacióndepatrones en las reflexionesdelos profesores sobre sus experiencias en el proyecto El Aula del Futuro,"Andaluz Ramírez, Daniela",2021,Licenciatura en Actuaría
"Pronóstico y toleranciadepacientes con cáncerdepróstata metastásico sensible a la castración, tratados con docetaxel en el Instituto NacionaldeCancerologíadeMéxico","Anchondo Ortega, FelipedeJesús",2021,Especialidad en Medicina (Oncología Médica)
Programadelenguaje a niño con síndromedePrader Willi,"Andrade Hernández, Mónica Yazmín",2021,Licenciatura en Psicología
Prescripción adecuadadeantidiabéticos orales con apoyodeuna aplicación informática en pacientes con daño renal en el primer niveldeatención,"Andrade Barajas, Luis Javier",2021,Especialidad en Medicina (Medicina Familiar)
Asociacióndedímero D y sofa en pacientes con COVID 19 hospitalizados en la UnidaddeTerapia Intensiva del Hospital Español,"Andrade Chávez, Rubén Alejandro",2021,Especialidad en Medicina Crítica
Miguel Jerónimo Zendejas :paradigma del gusto clerical secular en el obispado angelopolitano (1758-1815),"Andrade Campos, Alejandro Julián",2021,Doctorado en Historia del Arte
